"","trustLevel","totalScanTimeInSeconds","grandTotal","lineItemVoids","scansWithoutRegistration","quantityModifications","scannedLineItemsPerSecond","valuePerSecond","lineItemVoidsPerPosition"
"1",5,1054,54.7,7,0,3,0.0275142314990512,0.0518975332068311,0.241379310344828
"2",3,108,27.36,5,2,4,0.12962962962963,0.253333333333333,0.357142857142857
"3",3,1516,62.16,3,10,5,0.00857519788918206,0.0410026385224274,0.230769230769231
"4",6,1791,92.31,8,4,4,0.0161920714684534,0.0515410385259632,0.275862068965517
"5",5,430,81.53,3,7,2,0.0627906976744186,0.189604651162791,0.111111111111111
"6",1,770,11.09,11,5,2,0.0337662337662338,0.0144025974025974,0.423076923076923
"7",3,294,55.63,2,7,1,0.0374149659863946,0.18921768707483,0.181818181818182
"8",2,1545,22.8,0,8,4,0.00647249190938511,0.0147572815533981,0
"9",6,962,65.44,7,0,2,0.0280665280665281,0.068024948024948,0.259259259259259
"10",2,725,41.08,10,2,4,0.0372413793103448,0.0566620689655172,0.37037037037037
"11",5,1533,84.73,4,2,4,0.0104370515329419,0.0552707110241357,0.25
"12",4,764,28.98,8,0,0,0.0261780104712042,0.0379319371727749,0.4
"13",4,1736,5.46,4,10,4,0.00576036866359447,0.00314516129032258,0.4
"14",4,1705,16.96,7,4,4,0.0158357771260997,0.00994721407624633,0.259259259259259
"15",6,1659,52.53,2,1,4,0.0126582278481013,0.0316636528028933,0.0952380952380952
"16",1,870,32.45,3,1,5,0.00689655172413793,0.0372988505747126,0.5
"17",3,1295,42.9,11,10,0,0.016988416988417,0.0331274131274131,0.5
"18",6,590,79.84,6,10,4,0.0406779661016949,0.135322033898305,0.25
"19",3,139,59,8,5,5,0.0287769784172662,0.424460431654676,2
"20",3,1724,25.4,7,4,3,0.0110208816705336,0.0147331786542923,0.368421052631579
"21",3,1691,59.61,1,2,2,0.00887049083382614,0.0352513305736251,0.0666666666666667
"22",4,1505,2.7,6,4,0,0.00332225913621262,0.00179401993355482,1.2
"23",4,934,98.54,0,5,2,0.00856531049250535,0.105503211991435,0
"24",2,125,25.5,5,6,2,0.192,0.204,0.208333333333333
"25",1,71,78.91,1,4,4,0.0140845070422535,1.11140845070423,1
"26",5,816,81.54,8,7,1,0.0110294117647059,0.0999264705882353,0.888888888888889
"27",3,1503,23,10,3,1,0.019294743845642,0.0153027278775782,0.344827586206897
"28",4,329,56.65,10,2,5,0.0638297872340425,0.172188449848024,0.476190476190476
"29",6,1629,40.42,6,7,4,0.0135052179251074,0.0248127685696746,0.272727272727273
"30",5,1435,91.96,4,3,3,0.0132404181184669,0.0640836236933798,0.210526315789474
"31",6,314,48.54,6,1,1,0.0764331210191083,0.154585987261147,0.25
"32",5,285,6.23,5,6,2,0.105263157894737,0.021859649122807,0.166666666666667
"33",5,891,78.96,2,10,2,0.0280583613916947,0.0886195286195286,0.08
"34",2,1355,48.87,2,0,4,0.00516605166051661,0.0360664206642066,0.285714285714286
"35",2,866,39.38,10,9,1,0.0046189376443418,0.045473441108545,2.5
"36",2,335,14.4,0,9,5,0.0149253731343284,0.0429850746268657,0
"37",5,834,80.64,0,10,3,0.0155875299760192,0.0966906474820144,0
"38",2,1397,62.59,7,9,4,0.0178954903364352,0.0448031496062992,0.28
